Tunnel ID, Cluster priority, Cluster ID
4, 1, 7878
26, 1, 7878
61, 1, 7878
83, 1, 7878
187, 1, 7878
210, 1, 7878
222, 1, 7878
284, 1, 7878
304, 1, 7878
339, 1, 7878
344, 1, 7878
370, 1, 7878
417, 1, 7878
469, 1, 7878
499, 1, 7878
512, 1, 7878
556, 1, 7878
575, 1, 7878
603, 1, 7878
628, 1, 7878
702, 1, 7878
733, 1, 7878
749, 1, 7878
845, 1, 7878
905, 1, 7878
934, 1, 7878
963, 1, 7878
999, 1, 7878
1015, 1, 7878
1038, 1, 7878
1044, 1, 7878
1082, 1, 7878
1124, 1, 7878
1182, 1, 7878
1220, 1, 7878
1247, 1, 7878
1306, 1, 7878
1311, 1, 7878
1331, 1, 7878
1342, 1, 7878
1416, 1, 7878
1477, 1, 7878
1482, 1, 7878
1487, 1, 7878
1512, 1, 7878
1527, 1, 7878
1546, 1, 7878
1557, 1, 7878
1561, 1, 7878
1580, 1, 7878
1590, 1, 7878
1605, 1, 7878
1608, 1, 7878
1624, 1, 7878
1647, 1, 7878
1653, 1, 7878
1664, 1, 7878
1676, 1, 7878
1702, 1, 7878
1706, 1, 7878
1714, 1, 7878
1726, 1, 7878
1735, 1, 7878
1745, 1, 7878
1752, 1, 7878
1756, 1, 7878
1775, 1, 7878
1788, 1, 7878
1799, 1, 7878
1806, 1, 7878
1811, 1, 7878
1818, 1, 7878
1823, 1, 7878
1827, 1, 7878
1837, 1, 7878
1863, 1, 7878
1870, 1, 7878
1888, 1, 7878
1905, 1, 7878
1912, 1, 7878
1926, 1, 7878
1936, 1, 7878
1943, 1, 7878
1966, 1, 7878
1971, 1, 7878
1981, 1, 7878
1990, 1, 7878
2005, 1, 7878
2016, 1, 7878
2023, 1, 7878
2028, 1, 7878
2049, 1, 7878
2052, 1, 7878
2071, 1, 7878
2078, 1, 7878
2114, 1, 7878
2123, 1, 7878
2140, 1, 7878
2147, 1, 7878
2179, 1, 7878
2206, 1, 7878
2223, 1, 7878
2234, 1, 7878
2250, 1, 7878
2268, 1, 7878
2283, 1, 7878
2308, 1, 7878
2350, 1, 7878
2359, 1, 7878
2379, 1, 7878
2395, 1, 7878
2405, 1, 7878
2415, 1, 7878
2426, 1, 7878
2437, 1, 7878
2449, 1, 7878
2452, 1, 7878
2470, 1, 7878
2471, 1, 7878
2480, 1, 7878
2485, 1, 7878
2491, 1, 7878
2497, 1, 7878
2503, 1, 7878
2506, 1, 7878
2539, 1, 7878
2542, 1, 7878
2558, 1, 7878
2571, 1, 7878
2578, 1, 7878
2606, 1, 7878
2618, 1, 7878
2627, 1, 7878
2642, 1, 7878
2667, 1, 7878
2684, 1, 7878
2700, 1, 7878
2725, 1, 7878
2730, 1, 7878
2742, 1, 7878
2758, 1, 7878
2787, 1, 7878
2808, 1, 7878
2820, 1, 7878
2823, 1, 7878
2828, 1, 7878
2833, 1, 7878
2838, 1, 7878
2843, 1, 7878
2865, 1, 7878
2895, 1, 7878
2908, 1, 7878
2927, 1, 7878
2931, 1, 7878
2942, 1, 7878
2954, 1, 7878
2973, 1, 7878
2974, 1, 7878
2995, 1, 7878
3043, 1, 7878
3054, 1, 7878
3075, 1, 7878
3080, 1, 7878
3091, 1, 7878
3113, 1, 7878
3124, 1, 7878
3163, 1, 7878
3169, 1, 7878
3181, 1, 7878
3191, 1, 7878
3193, 1, 7878
3200, 1, 7878
3202, 1, 7878
3210, 1, 7878
3233, 1, 7878
3244, 1, 7878
3250, 1, 7878
3256, 1, 7878
3263, 1, 7878
3270, 1, 7878
3272, 1, 7878
3290, 1, 7878
3306, 1, 7878
3316, 1, 7878
3343, 1, 7878
3352, 1, 7878
3358, 1, 7878
3374, 1, 7878
3392, 1, 7878
3393, 1, 7878
3398, 1, 7878
3405, 1, 7878
3412, 1, 7878
3426, 1, 7878
3461, 1, 7878
3475, 1, 7878
3496, 1, 7878
3515, 1, 7878
3568, 1, 7878
3579, 1, 7878
3614, 1, 7878
3625, 1, 7878
3659, 1, 7878
3681, 1, 7878
3692, 1, 7878
3710, 1, 7878
3714, 1, 7878
3729, 1, 7878
3739, 1, 7878
3755, 1, 7878
3765, 1, 7878
3782, 1, 7878
3820, 1, 7878
3826, 1, 7878
3849, 1, 7878
3864, 1, 7878
3870, 1, 7878
3886, 1, 7878
3898, 1, 7878
3917, 1, 7878
3945, 1, 7878
3964, 1, 7878
3982, 1, 7878
3985, 1, 7878
4006, 1, 7878
4020, 1, 7878
4038, 1, 7878
4063, 1, 7878
4089, 1, 7878
4100, 1, 7878
4121, 1, 7878
4150, 1, 7878
4163, 1, 7878
4175, 1, 7878
4191, 1, 7878
4213, 1, 7878
4253, 1, 7878
4279, 1, 7878
4299, 1, 7878
4308, 1, 7878
4341, 1, 7878
4355, 1, 7878
4381, 1, 7878
4386, 1, 7878
4426, 1, 7878
4431, 1, 7878
4453, 1, 7878
4479, 1, 7878
4496, 1, 7878
4500, 1, 7878
4522, 1, 7878
4539, 1, 7878
4578, 1, 7878
4594, 1, 7878
4631, 1, 7878
4638, 1, 7878
4648, 1, 7878
4660, 1, 7878
4680, 1, 7878
4692, 1, 7878
4728, 1, 7878
4737, 1, 7878
4745, 1, 7878
4762, 1, 7878
4784, 1, 7878
4789, 1, 7878
4793, 1, 7878
4798, 1, 7878
4803, 1, 7878
4806, 1, 7878
4824, 1, 7878
4834, 1, 7878
4844, 1, 7878
4907, 1, 7878
4917, 1, 7878
4954, 1, 7878
4967, 1, 7878
4971, 1, 7878
4978, 1, 7878
4985, 1, 7878
4991, 1, 7878
5005, 1, 7878
5011, 1, 7878
5018, 1, 7878
5025, 1, 7878
5035, 1, 7878
5041, 1, 7878
5050, 1, 7878
5066, 1, 7878
5076, 1, 7878
5081, 1, 7878
5088, 1, 7878
5097, 1, 7878
5108, 1, 7878
5116, 1, 7878
5134, 1, 7878
5146, 1, 7878
5150, 1, 7878
5164, 1, 7878
5172, 1, 7878
5177, 1, 7878
5186, 1, 7878
5208, 1, 7878
5223, 1, 7878
5246, 1, 7878
5290, 1, 7878
5295, 1, 7878
5311, 1, 7878
5325, 1, 7878
5340, 1, 7878
5356, 1, 7878
5366, 1, 7878
5373, 1, 7878
5393, 1, 7878
5456, 1, 7878
5510, 1, 7878
5536, 1, 7878
5551, 1, 7878
5576, 1, 7878
5611, 1, 7878
5630, 1, 7878
5701, 1, 7878
5738, 1, 7878
5754, 1, 7878
5792, 1, 7878
5828, 1, 7878
5913, 1, 7878
5923, 1, 7878
5940, 1, 7878
5955, 1, 7878
6001, 1, 7878
6046, 1, 7878
6061, 1, 7878
6084, 1, 7878
6119, 1, 7878
6171, 1, 7878
6210, 1, 7878
6243, 1, 7878
6266, 1, 7878
6302, 1, 7878
6312, 1, 7878
6364, 1, 7878
6393, 1, 7878
6424, 1, 7878
6481, 1, 7878
6494, 1, 7878
6521, 1, 7878
6561, 1, 7878
6609, 1, 7878
6640, 1, 7878
6658, 1, 7878
6715, 1, 7878
6735, 1, 7878
6766, 1, 7878
6817, 1, 7878
6831, 1, 7878
6867, 1, 7878
6891, 1, 7878
6909, 1, 7878
6971, 1, 7878
6973, 1, 7878
7014, 1, 7878
7030, 1, 7878
7049, 1, 7878
7081, 1, 7878
7091, 1, 7878
7132, 1, 7878
7140, 1, 7878
7160, 1, 7878
7200, 1, 7878
7212, 1, 7878
7232, 1, 7878
7245, 1, 7878
7270, 1, 7878
7284, 1, 7878
7320, 1, 7878
7349, 1, 7878
7381, 1, 7878
7410, 1, 7878
7431, 1, 7878
7448, 1, 7878
7467, 1, 7878
7495, 1, 7878
7515, 1, 7878
7516, 1, 7878
7539, 1, 7878
7586, 1, 7878
7608, 1, 7878
7625, 1, 7878
7647, 1, 7878
7673, 1, 7878
7753, 1, 7878
7772, 1, 7878
7792, 1, 7878
7813, 1, 7878
7851, 1, 7878
7900, 1, 7878
7927, 1, 7878
7963, 1, 7878
7999, 1, 7878
8004, 1, 7878
8046, 1, 7878
8054, 1, 7878
8122, 1, 7878
8158, 1, 7878
8164, 1, 7878
8194, 1, 7878
